Method Name,Individual Word,Dictionary Word,POS Tag,Length (Characters)
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
B,B,True,NOUN,1
E,E,True,NOUN,1
F,F,True,NOUN,1
R,R,True,VERB,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
G,G,True,NOUN,1
P,P,True,NOUN,1
L,L,True,NOUN,1
V,V,True,NOUN,1
H,H,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
G,G,True,NOUN,1
V,V,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
u,u,True,NOUN,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
H,H,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
u,u,True,NOUN,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
K,K,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
u,u,True,NOUN,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
L,L,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
d,d,True,X,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
M,M,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
N,N,True,NOUN,1
A,A,True,PRON,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
O,O,True,INTJ,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
l,l,True,NOUN,1
u,u,True,NOUN,1
N,N,True,NOUN,1
n,n,True,CCONJ,1
u,u,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
d,d,True,X,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
A,A,True,PRON,1
x,x,True,VERB,1
B,B,True,NOUN,1
C,C,True,NOUN,1
M,M,True,NOUN,1
N,N,True,NOUN,1
D,D,True,PROPN,1
G,G,True,NOUN,1
j,j,True,NOUN,1
I,I,True,PRON,1
V,V,True,NOUN,1
R,R,True,VERB,1
E,E,True,NOUN,1
T,T,True,NOUN,1
P,P,True,NOUN,1
F,F,True,NOUN,1
U,U,True,NOUN,1
K,K,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
Q,Q,True,VERB,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
R,R,True,VERB,1
E,E,True,NOUN,1
B,B,True,NOUN,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
l,l,True,NOUN,1
u,u,True,NOUN,1
N,N,True,NOUN,1
n,n,True,CCONJ,1
u,u,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
d,d,True,X,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
A,A,True,PRON,1
x,x,True,VERB,1
B,B,True,NOUN,1
C,C,True,NOUN,1
M,M,True,NOUN,1
N,N,True,NOUN,1
D,D,True,PROPN,1
G,G,True,NOUN,1
j,j,True,NOUN,1
I,I,True,PRON,1
V,V,True,NOUN,1
R,R,True,VERB,1
E,E,True,NOUN,1
T,T,True,NOUN,1
P,P,True,NOUN,1
F,F,True,NOUN,1
U,U,True,NOUN,1
K,K,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
r,r,True,X,1
l,l,True,NOUN,1
i,i,True,PRON,1
a,a,True,PRON,1
u,u,True,NOUN,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
T,T,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
U,U,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
V,V,True,NOUN,1
D,D,True,PROPN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
d,d,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
T,T,True,NOUN,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
d,d,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
Y,Y,True,NOUN,1
V,V,True,NOUN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
u,u,True,NOUN,1
a,a,True,PRON,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
v,v,True,X,1
d,d,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
M,M,True,NOUN,1
D,D,True,PROPN,1
V,V,True,NOUN,1
Z,Z,True,PROPN,1
G,G,True,NOUN,1
H,H,True,NOUN,1
P,P,True,NOUN,1
q,q,True,X,1
set,set,True,VERB,3
a,a,True,PRON,1
toString,to,True,PART,2
toString,String,True,NOUN,6
set,set,True,VERB,3
clone,clone,True,VERB,5
j,j,True,NOUN,1
j,j,True,NOUN,1
j,j,True,NOUN,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
a,a,True,PRON,1
b,b,True,X,1
K,K,True,NOUN,1
L,L,True,NOUN,1
n,n,True,CCONJ,1
e,e,True,X,1
N,N,True,NOUN,1
t,t,True,NOUN,1
e,e,True,X,1
l,l,True,NOUN,1
r,r,True,X,1
i,i,True,PRON,1
a,a,True,PRON,1
u,u,True,NOUN,1
o,o,True,X,1
s,s,True,NOUN,1
f,f,True,X,1
p,p,True,NOUN,1
c,c,True,NOUN,1
h,h,True,NOUN,1
g,g,True,PROPN,1
m,m,True,VERB,1
b,b,True,X,1
y,y,True,PROPN,1
d,d,True,X,1
v,v,True,X,1
S,S,True,NOUN,1
w,w,True,PROPN,1
x,x,True,VERB,1
A,A,True,PRON,1
N,N,True,NOUN,1
j,j,True,NOUN,1
E,E,True,NOUN,1
B,B,True,NOUN,1
R,R,True,VERB,1
F,F,True,NOUN,1
C,C,True,NOUN,1
I,I,True,PRON,1
D,D,True,PROPN,1
